High-pressure,Low-pressure,Speed
34.38,26.16,0.0
34.43,26.15,0.0
34.4,26.13,0.0
35.97,23.77,3.98
44.08,24.31,30.05
44.57,25.24,43.97
44.26,25.19,45.18
43.51,25.1,45.23
43.36,25.0,45.22
43.07,24.96,45.22
43.01,24.92,45.21
42.91,24.88,45.24
42.99,24.85,45.21
42.84,24.81,45.21
43.18,24.78,45.21
43.15,24.75,45.23
43.03,24.73,45.28
42.96,24.69,45.23
43.01,24.66,45.23
43.03,24.64,45.21
43.01,24.61,45.21
42.83,24.59,45.21
43.94,24.59,45.25
42.84,24.55,45.22
43.04,24.54,45.23
42.15,24.49,45.24
45.0,24.51,45.21
47.38,24.54,45.21
49.51,24.52,45.19
63.38,24.56,45.14
63.01,24.58,45.18
44.88,24.56,45.35
45.71,24.56,45.25
52.44,24.58,45.15
60.1,24.59,45.12
81.59,24.55,45.01
120.45,24.43,44.57
127.08,24.43,44.54
126.83,24.41,44.55
126.88,24.39,44.54
127.9,24.38,44.49
129.62,24.35,44.44
130.65,24.34,44.44
131.66,24.33,44.42
132.28,24.33,44.41
132.4,24.31,44.34
133.08,24.29,44.38
132.99,24.28,44.38
132.04,24.26,44.37
130.29,24.27,44.39
128.57,24.25,44.37
128.31,24.25,44.37
128.33,24.23,44.35
128.56,24.26,44.34
128.26,24.25,44.34
127.95,24.23,44.36
127.47,24.19,44.34
127.28,24.21,44.34
127.11,24.2,44.32
127.02,24.19,44.34
127.16,24.2,44.37
127.05,24.16,44.31
127.2,24.14,44.28
127.17,24.14,44.29
127.17,24.14,44.29
127.28,24.14,44.3
127.48,24.12,44.25
127.54,24.13,44.29
127.68,24.15,44.37
127.49,24.13,44.34
127.04,24.11,44.34
126.88,24.12,44.32
126.6,24.14,44.3
126.31,24.14,44.3
126.15,24.11,44.21
125.83,24.11,44.35
125.21,24.1,44.34
125.04,24.09,44.31
124.66,24.06,44.23
123.21,24.09,44.24
121.07,24.09,44.31
119.04,24.09,44.33
110.15,24.18,44.5
106.75,24.19,44.46
112.29,24.16,44.4
111.72,24.16,44.44
111.34,24.12,44.38
111.68,24.14,44.38
110.99,24.17,44.42
111.23,24.14,44.39
111.78,24.13,44.35
114.56,24.13,44.31
116.56,24.1,44.25
113.24,24.09,44.27
107.6,24.14,44.32
94.87,24.24,44.41
58.06,24.39,44.78
41.67,24.28,45.05
41.24,24.23,44.97
41.3,24.25,44.94
41.38,24.27,44.94
41.42,24.27,44.93
41.48,24.31,45.02
41.42,24.32,44.95
41.4,24.33,44.93
41.44,24.35,44.94
41.46,24.35,44.91
41.56,24.38,44.91
41.69,24.39,44.88
38.8,23.92,41.37
30.01,24.08,7.33
31.32,25.23,0.0
31.35,25.39,0.0
31.58,25.54,0.0
32.0,25.66,0.0
